daxgasse;23.09.2020;Mittwoch
daxlander strasse 1-123z;02.10.2020;Freitag
daxlander strasse 125-ende;02.10.2020;Freitag
daxlander strasse 0-ende;02.10.2020;Freitag
de-coster-strasse;12.02.2020;Mittwoch
dea-scholven-strasse;11.09.2020;Freitag
degenfeldstrasse 1-3z;31.03.2020;Dienstag
degenfeldstrasse 5-9z;31.03.2020;Dienstag
degenfeldstrasse 11-ende;31.03.2020;Dienstag
degenfeldstrasse 0-ende;31.03.2020;Dienstag
dekan-hofheinz-strasse;03.06.2020;Mittwoch
delawarestrasse;29.06.2020;Montag
dessauer strasse;26.02.2020;Mittwoch
devrientstrasse;07.07.2020;Dienstag
diakonissenstrasse;17.11.2020;Dienstag
dieselstrasse;23.01.2020;Donnerstag
dietrichstrasse;17.01.2020;Freitag
dobelstrasse;04.06.2020;Donnerstag
dollmaetschstrasse;19.03.2020;Donnerstag
donaulandstrasse;04.06.2020;Donnerstag
donauschwabenstrasse;11.12.2020;Freitag
donaustrasse;03.11.2020;Dienstag
donnersbergweg;14.08.2020;Freitag
dornroeschenweg;30.09.2020;Mittwoch
dornwaldstrasse;10.02.2020;Montag
dorotheastrasse;17.04.2020;Freitag
doerrenbacher strasse;26.08.2020;Mittwoch
douglasstrasse 1-9z;05.06.2020;Freitag
douglasstrasse 11-13;05.06.2020;Freitag
douglasstrasse 13a-ende;05.06.2020;Freitag
zaehringerstrasse 1-39z;17.06.2020;Mittwoch
zaehringerstrasse 41-67z;17.06.2020;Mittwoch
zaehringerstrasse 0-36z;17.06.2020;Mittwoch
yburgweg;12.10.2020;Montag
zaehringerstrasse 38-70z;17.06.2020;Mittwoch
yorckstrasse 1-33z;31.07.2020;Freitag
zaehringerstrasse 72-74z;17.06.2020;Mittwoch
yorckstrasse 35-47z;31.07.2020;Freitag
zaehringerstrasse 76-ende;17.06.2020;Mittwoch
yorckstrasse 49-ende;31.07.2020;Freitag
zaehringerstrasse 69-ende;17.06.2020;Mittwoch
yorckstrasse 0-52z;31.07.2020;Freitag
zamenhofstrasse;19.03.2020;Donnerstag
wachenburgweg;12.10.2020;Montag
yorckstrasse 54-ende;31.07.2020;Freitag
zanderweg 1-ende;28.09.2020;Montag
wachhausstrasse;23.01.2020;Donnerstag
valentinstrasse 1-37z;23.09.2020;Mittwoch
zanderweg 0-8z;28.09.2020;Montag
wachholderweg;11.12.2020;Freitag
valentinstrasse 39-ende;23.09.2020;Mittwoch
zanderweg 10-10z;28.09.2020;Montag
uhlandstrasse 1-37z;06.08.2020;Donnerstag
waiblinger strasse;04.06.2020;Donnerstag
valentinstrasse 0-ende;23.09.2020;Mittwoch
zanderweg 12-ende;28.09.2020;Montag
uhlandstrasse 39-ende;06.08.2020;Donnerstag
waidweg 1;21.09.2020;Montag
tagloehnergaerten;05.06.2020;Freitag
veilchenstrasse 1-21z;25.03.2020;Mittwoch
zedernweg;11.12.2020;Freitag
uhlandstrasse 0-32z;06.08.2020;Donnerstag
waidweg 1a-ende;21.09.2020;Montag
talstrasse;09.06.2020;Dienstag
zehntstrasse;04.02.2020;Dienstag
